,link,type,likes/views,age,comment,hashtags,mentions
0,https://www.instagram.com/p/CDGnITVg53P/,video,718,5h,🥺😭,,
1,https://www.instagram.com/p/CDGKFn0A6gs/,photo,45,11 HOURS AGO,none,none,none
