,link,type,likes/views,age,comment,hashtags,mentions
0,https://www.instagram.com/p/CC2s1NHgQ0U/,photo,39,6 DAYS AGO,none,none,none
1,https://www.instagram.com/p/CC2sEZigRVd/,photo,18,6 DAYS AGO,none,none,none
