,link,type,likes/views,age,comment,hashtags,mentions
0,https://www.instagram.com/p/CDIL-hdngfv/,photo,650,8 HOURS AGO,none,none,none
1,https://www.instagram.com/p/CDAys4-nYln/,photo,865,3d,❤️❤️❤️❤️,,
