,link,type,likes/views,age,comment,hashtags,mentions
0,https://www.instagram.com/p/CDGnITVg53P/,video,735,6h,none,none,none
1,https://www.instagram.com/p/CDGKFn0A6gs/,photo,46,12 HOURS AGO,none,none,none
